campaign_id,date,market,channel,segment_id,product_id,format,copy_style,image_style,objective,spend_sgd,impressions,clicks,conversions,revenue_sgd,trend_tag
cmp_001,2026-03-04,Singapore,Meta,seg_urban_professionals,prod_linen_shirt,Carousel,benefit-led,editorial,Sales,1200,84000,2050,164,6480,office-refresh
cmp_002,2026-03-05,Singapore,TikTok,seg_style_enthusiasts,prod_batik_maxi,Short video,trend-led,creator-motion,Sales,950,112000,2710,138,5310,payday-style
cmp_003,2026-03-07,Malaysia,Display,seg_value_seekers,prod_tailored_trouser,Responsive banner,value-led,product-detail,Sales,720,98000,1176,78,2650,workwear-deal
cmp_004,2026-03-09,Indonesia,Email,seg_modest_fashion,prod_modest_tunic,Hero module,occasion-led,editorial,Retention,430,36000,1188,132,5148,ramadan-edit
cmp_005,2026-03-12,Singapore,Meta,seg_style_enthusiasts,prod_pleated_skirt,Reels cutdown,trend-led,creator-motion,Traffic,870,93000,2139,93,2790,social-save
cmp_006,2026-03-14,Thailand,Display,seg_urban_professionals,prod_resort_overshirt,Responsive banner,benefit-led,lifestyle,Awareness,650,102000,1224,61,2013,weekend-ready
cmp_007,2026-03-17,Malaysia,TikTok,seg_modest_fashion,prod_batik_maxi,Short video,occasion-led,creator-motion,Sales,980,126000,3024,181,7330,festive-flow
cmp_008,2026-03-19,Singapore,Email,seg_urban_professionals,prod_linen_shirt,Hero module,new-arrival,editorial,Sales,520,42000,1428,151,6035,new-season
cmp_009,2026-03-21,Indonesia,Meta,seg_value_seekers,prod_tailored_trouser,Static feed,value-led,product-detail,Sales,810,87000,1566,104,3744,office-value
cmp_010,2026-03-24,Thailand,TikTok,seg_style_enthusiasts,prod_resort_overshirt,Short video,promo-urgency,creator-motion,Sales,760,97000,2221,107,3424,weekend-drop
cmp_011,2026-03-26,Malaysia,Email,seg_value_seekers,prod_linen_shirt,Promo module,promo-urgency,product-detail,Sales,390,31000,930,91,3094,payday-offer
cmp_012,2026-03-29,Singapore,Display,seg_urban_professionals,prod_pleated_skirt,Responsive banner,editorial,editorial,Traffic,700,95000,1425,66,2244,capsule-edit
cmp_013,2026-04-02,Singapore,Meta,seg_modest_fashion,prod_modest_tunic,Carousel,occasion-led,editorial,Sales,1120,90000,2160,169,6760,modest-office
cmp_014,2026-04-03,Indonesia,TikTok,seg_style_enthusiasts,prod_batik_maxi,Short video,trend-led,creator-motion,Sales,990,138000,3450,207,8694,creator-pick
cmp_015,2026-04-05,Malaysia,Display,seg_value_seekers,prod_linen_shirt,Responsive banner,value-led,product-detail,Sales,760,121000,1815,116,3944,payday-basics
cmp_016,2026-04-07,Singapore,Email,seg_urban_professionals,prod_tailored_trouser,Hero module,benefit-led,editorial,Retention,510,39000,1365,145,5945,workwear-capsule
cmp_017,2026-04-10,Thailand,Meta,seg_style_enthusiasts,prod_resort_overshirt,Reels cutdown,trend-led,lifestyle,Traffic,850,91000,2002,84,2688,holiday-fit
cmp_018,2026-04-12,Malaysia,TikTok,seg_modest_fashion,prod_modest_tunic,Short video,occasion-led,creator-motion,Sales,1050,132000,3300,198,8316,festive-layering
cmp_019,2026-04-15,Singapore,Display,seg_urban_professionals,prod_linen_shirt,Responsive banner,benefit-led,editorial,Sales,690,101000,1515,95,3800,humid-workwear
cmp_020,2026-04-18,Indonesia,Email,seg_value_seekers,prod_tailored_trouser,Promo module,promo-urgency,product-detail,Sales,420,33000,1056,93,3441,salary-week
